"Step","lunar-spaceship-8 - train_acc","lunar-spaceship-8 - train_acc__MIN","lunar-spaceship-8 - train_acc__MAX"
"0","9.2","9.2","9.2"
"1","10.6","10.6","10.6"
"2","15.5","15.5","15.5"
"3","16.1","16.1","16.1"
"4","16.9","16.9","16.9"
"5","18.8","18.8","18.8"
"6","17.4","17.4","17.4"
"7","22","22","22"
"8","21","21","21"
"9","24","24","24"
"10","24.8","24.8","24.8"
"11","23.1","23.1","23.1"
"12","20","20","20"
"13","19.3","19.3","19.3"
"14","28.2","28.2","28.2"
"15","29.1","29.1","29.1"
"16","32.9","32.9","32.9"
"17","32.9","32.9","32.9"
"18","32.5","32.5","32.5"
"19","37.5","37.5","37.5"
"20","31.9","31.9","31.9"
"21","28.9","28.9","28.9"
"22","31","31","31"
"23","37.9","37.9","37.9"
"24","42.1","42.1","42.1"
"25","50.6","50.6","50.6"
"26","49.4","49.4","49.4"
"27","44.8","44.8","44.8"
"28","38.4","38.4","38.4"
"29","32.5","32.5","32.5"
"30","49.7","49.7","49.7"
"31","57.3","57.3","57.3"
"32","58","58","58"
"33","55.3","55.3","55.3"
"34","65.3","65.3","65.3"
"35","65.3","65.3","65.3"
"36","60","60","60"
"37","66.9","66.9","66.9"
"38","62","62","62"
"39","71.8","71.8","71.8"
"40","83.3","83.3","83.3"
"41","84.9","84.9","84.9"
"42","87.6","87.6","87.6"
"43","91.8","91.8","91.8"
"44","94.6","94.6","94.6"
"45","94.4","94.4","94.4"
"46","98.3","98.3","98.3"
"47","95","95","95"
"48","95.2","95.2","95.2"
"49","98.2","98.2","98.2"
"50","99.8","99.8","99.8"
"51","100","100","100"
"52","100","100","100"
"53","100","100","100"
"54","100","100","100"
"55","100","100","100"
"56","100","100","100"
"57","100","100","100"
"58","100","100","100"
"59","100","100","100"
"60","100","100","100"
"61","100","100","100"
"62","100","100","100"
"63","100","100","100"
"64","100","100","100"
"65","100","100","100"
"66","100","100","100"
"67","100","100","100"
"68","100","100","100"
"69","100","100","100"
"70","100","100","100"
"71","99.9","99.9","99.9"
"72","100","100","100"
"73","100","100","100"
"74","100","100","100"
"75","100","100","100"
"76","100","100","100"
"77","100","100","100"
"78","100","100","100"
"79","100","100","100"
"80","100","100","100"
"81","100","100","100"
"82","100","100","100"
"83","100","100","100"
"84","100","100","100"
"85","100","100","100"
"86","100","100","100"
"87","100","100","100"
"88","100","100","100"
"89","100","100","100"
"90","100","100","100"
"91","100","100","100"
"92","100","100","100"
"93","100","100","100"
"94","100","100","100"
"95","100","100","100"
"96","100","100","100"
"97","100","100","100"
"98","100","100","100"
"99","100","100","100"