"Step","lunar-spaceship-8 - train_loss","lunar-spaceship-8 - train_loss__MIN","lunar-spaceship-8 - train_loss__MAX"
"0","2.3422011604309083","2.3422011604309083","2.3422011604309083"
"1","2.372434720993042","2.372434720993042","2.372434720993042"
"2","2.3141860790252684","2.3141860790252684","2.3141860790252684"
"3","2.296038724899292","2.296038724899292","2.296038724899292"
"4","2.3732777843475343","2.3732777843475343","2.3732777843475343"
"5","2.2858661193847656","2.2858661193847656","2.2858661193847656"
"6","2.1878543376922606","2.1878543376922606","2.1878543376922606"
"7","2.2366011543273925","2.2366011543273925","2.2366011543273925"
"8","2.2770260524749757","2.2770260524749757","2.2770260524749757"
"9","2.287540845870972","2.287540845870972","2.287540845870972"
"10","2.055887901306152","2.055887901306152","2.055887901306152"
"11","2.1350105934143064","2.1350105934143064","2.1350105934143064"
"12","2.291186901092529","2.291186901092529","2.291186901092529"
"13","2.2779090633392336","2.2779090633392336","2.2779090633392336"
"14","2.068889126777649","2.068889126777649","2.068889126777649"
"15","1.8621893491744994","1.8621893491744994","1.8621893491744994"
"16","1.7929304571151734","1.7929304571151734","1.7929304571151734"
"17","1.7606798934936523","1.7606798934936523","1.7606798934936523"
"18","1.71888383769989","1.71888383769989","1.71888383769989"
"19","1.676836431503296","1.676836431503296","1.676836431503296"
"20","1.9338777561187743","1.9338777561187743","1.9338777561187743"
"21","1.9544834728240967","1.9544834728240967","1.9544834728240967"
"22","2.0182796306610107","2.0182796306610107","2.0182796306610107"
"23","1.693494767189026","1.693494767189026","1.693494767189026"
"24","1.4912221775054932","1.4912221775054932","1.4912221775054932"
"25","1.3134570798873901","1.3134570798873901","1.3134570798873901"
"26","1.2814683790206909","1.2814683790206909","1.2814683790206909"
"27","1.4563796262741089","1.4563796262741089","1.4563796262741089"
"28","1.6784718179702758","1.6784718179702758","1.6784718179702758"
"29","2.121520857810974","2.121520857810974","2.121520857810974"
"30","1.3436655387878418","1.3436655387878418","1.3436655387878418"
"31","1.1613241147994995","1.1613241147994995","1.1613241147994995"
"32","1.1667405433654785","1.1667405433654785","1.1667405433654785"
"33","1.1100615644454956","1.1100615644454956","1.1100615644454956"
"34","0.9571335101127625","0.9571335101127625","0.9571335101127625"
"35","0.9086654624938965","0.9086654624938965","0.9086654624938965"
"36","1.0833544874191283","1.0833544874191283","1.0833544874191283"
"37","0.9227831249237061","0.9227831249237061","0.9227831249237061"
"38","0.9986147398948669","0.9986147398948669","0.9986147398948669"
"39","0.7474063358306885","0.7474063358306885","0.7474063358306885"
"40","0.5369098587036133","0.5369098587036133","0.5369098587036133"
"41","0.4595606985092163","0.4595606985092163","0.4595606985092163"
"42","0.3425036313533783","0.3425036313533783","0.3425036313533783"
"43","0.2560656318664551","0.2560656318664551","0.2560656318664551"
"44","0.21021082186698914","0.21021082186698914","0.21021082186698914"
"45","0.17482690870761872","0.17482690870761872","0.17482690870761872"
"46","0.10672988659143448","0.10672988659143448","0.10672988659143448"
"47","0.19948572015762328","0.19948572015762328","0.19948572015762328"
"48","0.17106610465049743","0.17106610465049743","0.17106610465049743"
"49","0.09952676266431809","0.09952676266431809","0.09952676266431809"
"50","0.04655053296685219","0.04655053296685219","0.04655053296685219"
"51","0.03073857982456684","0.03073857982456684","0.03073857982456684"
"52","0.024826701298356055","0.024826701298356055","0.024826701298356055"
"53","0.01913161215186119","0.01913161215186119","0.01913161215186119"
"54","0.0177025662958622","0.0177025662958622","0.0177025662958622"
"55","0.0142471976429224","0.0142471976429224","0.0142471976429224"
"56","0.018302770555019377","0.018302770555019377","0.018302770555019377"
"57","0.011670078210532665","0.011670078210532665","0.011670078210532665"
"58","0.011252717792987824","0.011252717792987824","0.011252717792987824"
"59","0.013153522968292237","0.013153522968292237","0.013153522968292237"
"60","0.009046262957155705","0.009046262957155705","0.009046262957155705"
"61","0.008971033155918122","0.008971033155918122","0.008971033155918122"
"62","0.00791819503903389","0.00791819503903389","0.00791819503903389"
"63","0.009225847139954568","0.009225847139954568","0.009225847139954568"
"64","0.00751847592368722","0.00751847592368722","0.00751847592368722"
"65","0.007508662983775139","0.007508662983775139","0.007508662983775139"
"66","0.006217966794967652","0.006217966794967652","0.006217966794967652"
"67","0.006299428205937147","0.006299428205937147","0.006299428205937147"
"68","0.004988021597266197","0.004988021597266197","0.004988021597266197"
"69","0.007754396051168442","0.007754396051168442","0.007754396051168442"
"70","0.005581840090453625","0.005581840090453625","0.005581840090453625"
"71","0.010545944239944219","0.010545944239944219","0.010545944239944219"
"72","0.005177130989730358","0.005177130989730358","0.005177130989730358"
"73","0.005684725005179644","0.005684725005179644","0.005684725005179644"
"74","0.005937764845788479","0.005937764845788479","0.005937764845788479"
"75","0.004868332576006651","0.004868332576006651","0.004868332576006651"
"76","0.008347843296825886","0.008347843296825886","0.008347843296825886"
"77","0.0035035629626363517","0.0035035629626363517","0.0035035629626363517"
"78","0.005205892231315374","0.005205892231315374","0.005205892231315374"
"79","0.004147570382803678","0.004147570382803678","0.004147570382803678"
"80","0.004524918744340539","0.004524918744340539","0.004524918744340539"
"81","0.006479248002171516","0.006479248002171516","0.006479248002171516"
"82","0.004502068806439638","0.004502068806439638","0.004502068806439638"
"83","0.0038397592678666116","0.0038397592678666116","0.0038397592678666116"
"84","0.0032499719113111497","0.0032499719113111497","0.0032499719113111497"
"85","0.004925612598657608","0.004925612598657608","0.004925612598657608"
"86","0.0034463735055178402","0.0034463735055178402","0.0034463735055178402"
"87","0.0034852406084537506","0.0034852406084537506","0.0034852406084537506"
"88","0.004084952570497989","0.004084952570497989","0.004084952570497989"
"89","0.0039697417840361595","0.0039697417840361595","0.0039697417840361595"
"90","0.0038715443238615988","0.0038715443238615988","0.0038715443238615988"
"91","0.0032142989467829467","0.0032142989467829467","0.0032142989467829467"
"92","0.002925152065232396","0.002925152065232396","0.002925152065232396"
"93","0.003822446806356311","0.003822446806356311","0.003822446806356311"
"94","0.0028315888606011866","0.0028315888606011866","0.0028315888606011866"
"95","0.003037732070311904","0.003037732070311904","0.003037732070311904"
"96","0.0033280685283243656","0.0033280685283243656","0.0033280685283243656"
"97","0.003230638828128576","0.003230638828128576","0.003230638828128576"
"98","0.0029818507581949234","0.0029818507581949234","0.0029818507581949234"
"99","0.0023667288068681953","0.0023667288068681953","0.0023667288068681953"